what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1345035573247
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1345035573247
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1345035573248
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1345035573249
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1345035573249
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1345035573250
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1345035573255
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1345035573256
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1345035573256
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1345035573257
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1345035573257
started,bundle,org.eclipse.wb.core,1.2.0.r37x201112290923,"org.eclipse.wb.core",1345035573257
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201112290923,"org.eclipse.wb.core.lib",1345035573257
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1345035573257
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1345035573258
os,sysinfo,,,"linux",1345035573268
arch,sysinfo,,,"x86",1345035573268
ws,sysinfo,,,"gtk",1345035573268
locale,sysinfo,,,"de_DE",1345035573268
processors,sysinfo,,,"2",1345035573268
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345035573270
java.runtime.version,sysinfo,,,"1.6.0_31-b04",1345035573270
java.specification.name,sysinfo,,,"Java Platform API Specification",1345035573270
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345035573270
java.specification.version,sysinfo,,,"1.6",1345035573270
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1345035573270
java.version,sysinfo,,,"1.6.0_31",1345035573270
java.vm.info,sysinfo,,,"mixed mode, sharing",1345035573270
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1345035573270
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345035573270
